cycle_start_iso,torque_amp_nm,torque_rms_nm
2025-10-02T06:31:57.587054,0.027427,1.433625
2025-10-02T06:31:58.189464,0.029686,1.439760
2025-10-02T06:31:58.791874,0.037119,1.472110
2025-10-02T06:31:59.394284,0.033369,1.469239
2025-10-02T06:31:59.996694,1.446037,1.167092
2025-10-02T06:32:00.599104,2.303004,2.129724
2025-10-02T06:32:01.201514,2.260712,2.137640
2025-10-02T06:32:01.803924,2.182543,2.102165
2025-10-02T06:32:02.406334,2.100533,2.086117
2025-10-02T06:32:03.008744,2.077376,2.092073
2025-10-02T06:32:03.611154,2.023606,2.023343
2025-10-02T06:32:04.213564,1.984319,2.014834
2025-10-02T06:32:04.815974,2.011023,1.996879
2025-10-02T06:32:05.418384,1.945528,1.974575
2025-10-02T06:32:06.020794,1.920360,1.968363
2025-10-02T06:32:06.623204,1.882202,1.952024
2025-10-02T06:32:07.225614,1.884032,1.948642
2025-10-02T06:32:07.828024,1.857509,1.928138
2025-10-02T06:32:08.430434,1.825721,1.914542
2025-10-02T06:32:09.032844,1.824795,1.904926
2025-10-02T06:32:09.635254,1.813318,1.886458
2025-10-02T06:32:10.237664,1.799582,1.859894
2025-10-02T06:32:10.840074,1.812866,1.875218
2025-10-02T06:32:11.442484,1.780650,1.815717
2025-10-02T06:32:12.044894,1.792420,1.806294
2025-10-02T06:32:12.647304,1.786298,1.808661
2025-10-02T06:32:13.249714,1.755505,1.802096
2025-10-02T06:32:13.852124,1.767027,1.824215
2025-10-02T06:32:14.454534,1.758690,1.810834
2025-10-02T06:32:15.056944,1.738809,1.837800
2025-10-02T06:32:15.659354,1.735985,1.841818
2025-10-02T06:32:16.261764,1.744683,1.868815
2025-10-02T06:32:16.864174,1.704379,1.853417
2025-10-02T06:32:17.466584,1.703046,1.926492
2025-10-02T06:32:18.068994,1.747869,1.896577
2025-10-02T06:32:18.671404,1.715358,1.864137
2025-10-02T06:32:19.273814,1.700357,1.862703
2025-10-02T06:32:19.876224,1.690236,1.868225
2025-10-02T06:32:20.478634,1.692269,1.857343
2025-10-02T06:32:21.081044,1.660956,1.861187
2025-10-02T06:32:21.683454,1.684136,1.861834
2025-10-02T06:32:22.285864,1.653298,1.852695
2025-10-02T06:32:22.888274,1.681086,1.852461
2025-10-02T06:32:23.490684,1.674060,1.859030
2025-10-02T06:32:24.093094,1.661069,1.845761
2025-10-02T06:32:24.695504,1.658132,1.843130
2025-10-02T06:32:25.297914,1.665701,1.842659
2025-10-02T06:32:25.900324,1.641392,1.826622
2025-10-02T06:32:26.502734,1.652417,1.820377
2025-10-02T06:32:27.105144,1.644893,1.808110
